Jahr;ICD10_Code;Diagnose_Bezeichnung;maennlich_unter_1_Jahr;maennlich_1_bis_unter_5_Jahre;maennlich_5_bis_unter_10_Jahre;maennlich_10_bis_unter_15_Jahre;maennlich_15_bis_unter_18_Jahre;maennlich_18_bis_unter_20_Jahre;maennlich_20_bis_unter_25_Jahre;maennlich_25_bis_unter_30_Jahre;maennlich_30_bis_unter_35_Jahre;maennlich_35_bis_unter_40_Jahre;maennlich_40_bis_unter_45_Jahre;maennlich_45_bis_unter_50_Jahre;maennlich_50_bis_unter_55_Jahre;maennlich_55_bis_unter_60_Jahre;maennlich_60_bis_unter_65_Jahre;maennlich_65_bis_unter_70_Jahre;maennlich_70_bis_unter_75_Jahre;maennlich_75_bis_unter_80_Jahre;maennlich_80_bis_unter_85_Jahre;maennlich_85_bis_unter_90_Jahre;maennlich_90_bis_unter_95_Jahre;maennlich_95_Jahre_und_mehr;maennlich_insgesamt;weiblich_unter_1_Jahr;weiblich_1_bis_unter_5_Jahre;weiblich_5_bis_unter_10_Jahre;weiblich_10_bis_unter_15_Jahre;weiblich_15_bis_unter_18_Jahre;weiblich_18_bis_unter_20_Jahre;weiblich_20_bis_unter_25_Jahre;weiblich_25_bis_unter_30_Jahre;weiblich_30_bis_unter_35_Jahre;weiblich_35_bis_unter_40_Jahre;weiblich_40_bis_unter_45_Jahre;weiblich_45_bis_unter_50_Jahre;weiblich_50_bis_unter_55_Jahre;weiblich_55_bis_unter_60_Jahre;weiblich_60_bis_unter_65_Jahre;weiblich_65_bis_unter_70_Jahre;weiblich_70_bis_unter_75_Jahre;weiblich_75_bis_unter_80_Jahre;weiblich_80_bis_unter_85_Jahre;weiblich_85_bis_unter_90_Jahre;weiblich_90_bis_unter_95_Jahre;weiblich_95_Jahre_und_mehr;weiblich_insgesamt;insgesamt_unter_1_Jahr;insgesamt_1_bis_unter_5_Jahre;insgesamt_5_bis_unter_10_Jahre;insgesamt_10_bis_unter_15_Jahre;insgesamt_15_bis_unter_18_Jahre;insgesamt_18_bis_unter_20_Jahre;insgesamt_20_bis_unter_25_Jahre;insgesamt_25_bis_unter_30_Jahre;insgesamt_30_bis_unter_35_Jahre;insgesamt_35_bis_unter_40_Jahre;insgesamt_40_bis_unter_45_Jahre;insgesamt_45_bis_unter_50_Jahre;insgesamt_50_bis_unter_55_Jahre;insgesamt_55_bis_unter_60_Jahre;insgesamt_60_bis_unter_65_Jahre;insgesamt_65_bis_unter_70_Jahre;insgesamt_70_bis_unter_75_Jahre;insgesamt_75_bis_unter_80_Jahre;insgesamt_80_bis_unter_85_Jahre;insgesamt_85_bis_unter_90_Jahre;insgesamt_90_bis_unter_95_Jahre;insgesamt_95_Jahre_und_mehr;insgesamt_insgesamt
2024;ICD10-A07;    Sonstige Darmkrankheiten durch Protozoen;4;22;24;28;16;4;9;8;15;15;13;11;15;13;19;11;11;8;18;9;4;0;277;5;15;25;36;11;5;16;17;15;20;13;8;14;13;14;17;11;17;14;14;3;0;303;9;37;49;64;27;9;25;25;30;35;26;19;29;26;33;28;22;25;32;23;7;0;580
2024;ICD10-A08;    Virusbed. u.sonst. näher bezeichn. Darminfektionen;2382;5236;2208;869;367;168;536;483;457;446;325;292;312;474;568;583;668;700;1036;936;358;72;19476;1896;4857;2103;882;596;186;610;617;611;473;392;304;432;516;611;630;770;852;1547;1552;770;246;21453;4278;10093;4311;1751;963;354;1146;1100;1068;919;717;596;744;990;1179;1213;1438;1552;2583;2488;1128;318;40929
2024;ICD10-A09;    Sonst. Gastroenteritis u.Kolitis infekt. Ursprungs;3079;6588;4591;2968;1622;856;2250;2117;2074;1882;1640;1445;1664;2156;2512;2504;2860;2598;3541;3104;1042;221;53314;2836;5840;4262;2796;2405;1082;2907;2621;2419;2173;1994;1784;2140;2748;3143;3352;3839;4294;6978;6974;2976;915;70478;5915;12428;8853;5764;4027;1938;5157;4738;4493;4055;3634;3229;3804;4904;5655;5856;6699;6892;10519;10078;4018;1136;123792
2024;ICD10-A15-A19;  Tuberkulose;15;87;42;49;137;111;359;527;387;317;254;247;276;257;222;176;124;118;108;63;15;0;3891;9;69;71;40;48;35;158;229;190;155;137;123;111;108;104;89;85;70;72;42;12;1;1958;24;156;113;89;185;146;517;756;577;472;391;370;387;365;326;265;209;188;180;105;27;1;5849
2024;ICD10-A15;    Tuberkulose der Atmungsorgane, gesichert;7;43;18;17;74;63;210;302;221;174;165;176;197;172;161;111;75;64;62;39;11;0;2362;4;29;22;16;22;18;94;133;109;78;81;75;54;61;55;51;47;43;46;22;10;1;1071;11;72;40;33;96;81;304;435;330;252;246;251;251;233;216;162;122;107;108;61;21;1;3433
2024;ICD10-A16;    Tuberkulose der Atmungsorgane, nicht gesichert;7;23;24;21;39;14;64;74;58;54;52;43;45;50;39;36;23;19;21;11;0;0;717;5;30;29;14;14;5;24;32;24;23;22;19;26;20;24;22;6;8;12;9;1;0;369;12;53;53;35;53;19;88;106;82;77;74;62;71;70;63;58;29;27;33;20;1;0;1086
2024;ICD10-A17;    Tuberkulose des Nervensystems;0;14;0;0;7;1;3;3;13;15;2;2;5;2;7;1;2;1;0;0;0;0;78;0;3;11;0;5;0;0;6;6;5;0;2;4;5;2;3;1;4;0;0;0;0;57;0;17;11;0;12;1;3;9;19;20;2;4;9;7;9;4;3;5;0;0;0;0;135
2024;ICD10-A18;    Tuberkulose sonstiger Organe;0;7;0;11;13;30;62;126;73;59;22;17;20;17;7;24;15;14;13;13;3;0;546;0;7;5;8;7;12;36;53;49;42;33;23;24;19;15;9;20;11;13;10;1;0;397;0;14;5;19;20;42;98;179;122;101;55;40;44;36;22;33;35;25;26;23;4;0;943
2024;ICD10-A19;    Miliartuberkulose;1;0;0;0;4;3;20;22;22;15;13;9;9;16;8;4;9;20;12;0;1;0;188;0;0;4;2;0;0;4;5;2;7;1;4;3;3;8;4;11;4;1;1;0;0;64;1;0;4;2;4;3;24;27;24;22;14;13;12;19;16;8;20;24;13;1;1;0;252
2024;ICD10-A20-A28;  Bestimmte bakterielle Zoonosen;2;26;24;23;13;5;11;21;30;29;37;36;38;52;45;41;36;27;28;21;2;0;547;1;13;21;18;13;14;27;26;29;26;24;19;40;41;32;34;31;19;23;16;6;1;474;3;39;45;41;26;19;38;47;59;55;61;55;78;93;77;75;67;46;51;37;8;1;1021
2024;ICD10-A20;    Pest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;ICD10-A21;    Tularämie;0;0;1;1;0;1;0;2;1;2;2;0;3;10;7;12;8;9;5;5;0;0;69;0;0;0;2;2;0;1;1;1;2;1;1;1;4;0;5;2;0;2;1;0;0;26;0;0;1;3;2;1;1;3;2;4;3;1;4;14;7;17;10;9;7;6;0;0;95
2024;ICD10-A22;    Anthrax (Milzbrand);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
2024;ICD10-A23;    Brucellose;0;1;1;1;0;1;3;6;7;5;7;11;4;4;2;0;1;0;2;0;0;0;56;0;0;0;2;5;0;3;3;7;1;1;2;3;1;1;4;4;1;0;0;0;0;38;0;1;1;3;5;1;6;9;14;6;8;13;7;5;3;4;5;1;2;0;0;0;94
2024;ICD10-A24;    Rotz (Malleus) und Melioidose (Pseudorotz);0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;3;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;3;0;0;0;0;0;0;8
2024;ICD10-A25;    Rattenbisskrankheiten;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
2024;ICD10-A26;    Erysipeloid;1;7;9;5;4;0;0;1;2;6;5;2;7;4;7;6;11;3;10;4;2;0;96;0;6;8;4;2;1;0;1;4;3;4;1;5;7;8;2;4;7;3;5;3;1;79;1;13;17;9;6;1;0;2;6;9;9;3;12;11;15;8;15;10;13;9;5;1;175
2024;ICD10-A27;    Leptospirose;0;3;1;0;4;3;6;3;13;7;12;13;10;18;9;4;5;1;3;1;0;0;116;0;0;0;1;1;3;6;11;6;6;6;4;4;4;2;1;0;0;0;0;0;0;55;0;3;1;1;5;6;12;14;19;13;18;17;14;22;11;5;5;1;3;1;0;0;171
2024;ICD10-A28;    Sonstige bakterielle Zoonosen, ao.nicht klass.;1;15;12;16;5;0;2;8;7;9;10;8;13;15;19;16;11;14;8;11;0;0;200;1;7;12;9;3;10;17;10;11;14;12;11;26;25;21;22;21;11;18;10;3;0;274;2;22;24;25;8;10;19;18;18;23;22;19;39;40;40;38;32;25;26;21;3;0;474
2024;ICD10-A30-A49;  Sonstige bakterielle Krankheiten;1341;1072;821;547;349;276;755;1036;1617;2324;3037;3694;5274;8546;11206;12482;14205;13061;16902;13634;4439;881;117499;1136;944;741;447;314;202;556;644;944;1427;1714;1945;2938;4769;6313;7497;9039;9293;14750;14776;6231;1844;88464;2477;2016;1562;994;663;478;1311;1680;2561;3751;4751;5639;8212;13315;17519;19979;23244;22354;31652;28410;10670;2725;205963
2024;ICD10-A30;    Lepra (Aussatz);0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;6
2024;ICD10-A31;    Infektion durch sonstige Mykobakterien;0;17;1;0;1;0;6;14;9;14;25;30;40;78;83;73;65;36;34;24;3;0;553;0;14;6;1;3;3;7;6;5;15;9;13;22;49;76;93;82;66;86;37;3;0;596;0;31;7;1;4;3;13;20;14;29;34;43;62;127;159;166;147;102;120;61;6;0;1149
2024;ICD10-A32;    Listeriose;0;0;1;0;1;0;2;0;2;2;1;5;7;10;18;21;39;35;47;35;7;0;233;1;0;0;0;0;0;1;0;1;3;1;4;5;9;18;22;21;16;25;29;8;1;165;1;0;1;0;1;0;3;0;3;5;2;9;12;19;36;43;60;51;72;64;15;1;398
2024;ICD10-A33;    Tetanus neonatorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;ICD10-A34;    Tetanus während Schwangerschaft,Geburt, Wochenbett;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;ICD10-A35;    Sonstiger Tetanus;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;9
2024;ICD10-A36;    Diphtherie;0;0;1;1;3;1;0;0;2;1;4;0;2;1;1;4;2;1;0;0;0;0;24;0;1;0;0;0;0;0;1;0;0;0;2;1;0;1;0;1;1;1;0;0;0;9;0;1;1;1;3;1;0;1;2;1;4;2;3;1;2;4;3;2;1;0;0;0;33
2024;ICD10-A37;    Keuchhusten;622;109;39;30;32;6;9;5;8;10;12;12;19;19;15;16;10;6;11;2;1;0;993;646;137;29;43;25;6;6;7;5;10;13;10;6;12;11;8;12;10;15;9;5;2;1027;1268;246;68;73;57;12;15;12;13;20;25;22;25;31;26;24;22;16;26;11;6;2;2020
2024;ICD10-A38;    Scharlach;7;258;182;53;13;3;3;3;3;6;0;7;1;1;1;1;0;1;0;0;0;0;543;6;179;206;42;4;4;5;2;11;9;8;1;0;1;2;2;1;0;0;0;0;0;483;13;437;388;95;17;7;8;5;14;15;8;8;1;2;3;3;1;1;0;0;0;0;1026
2024;ICD10-A39;    Meningokokkeninfektion;25;13;4;4;13;7;20;9;9;8;6;5;1;6;11;7;6;6;5;6;0;1;172;18;15;6;4;8;8;16;6;4;8;7;5;3;8;7;7;7;7;11;5;1;2;163;43;28;10;8;21;15;36;15;13;16;13;10;4;14;18;14;13;13;16;11;1;3;335
2024;ICD10-A40;    Streptokokkensepsis;60;50;33;18;9;3;17;16;40;63;119;122;170;306;412;525;594;579;687;568;163;29;4583;38;43;26;15;5;3;8;19;26;62;63;62;101;161;236;276;335;307;446;444;154;38;2868;98;93;59;33;14;6;25;35;66;125;182;184;271;467;648;801;929;886;1133;1012;317;67;7451
2024;ICD10-A41;    Sonstige Sepsis;252;122;88;81;47;39;113;139;225;335;498;684;1153;2185;3489;4627;5548;5323;7027;5669;1750;322;39716;181;133;75;72;66;30;117;98;170;259;363;445;729;1339;2125;2648;3396;3380;5262;5049;1966;517;28420;433;255;163;153;113;69;230;237;395;594;861;1129;1882;3524;5614;7275;8944;8703;12289;10718;3716;839;68136
2024;ICD10-A42;    Aktinomykose;0;1;2;1;0;1;2;1;2;2;3;3;10;10;15;13;10;7;6;3;1;1;94;0;1;2;0;0;0;0;2;2;2;1;2;4;4;6;7;5;8;3;4;1;0;54;0;2;4;1;0;1;2;3;4;4;4;5;14;14;21;20;15;15;9;7;2;1;148
2024;ICD10-A43;    Nokardiose;0;0;0;0;0;0;0;1;0;3;0;0;1;2;5;6;5;3;5;1;0;0;32;0;0;0;0;0;0;0;0;0;0;0;4;1;4;1;2;4;4;1;0;0;0;21;0;0;0;0;0;0;0;1;0;3;0;4;2;6;6;8;9;7;6;1;0;0;53
2024;ICD10-A44;    Bartonellose;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;3;3;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10
2024;ICD10-A46;    Erysipel (Wundrose);12;120;160;124;106;132;429;680;1069;1537;1978;2304;3130;4539;5018;4529;4436;3541;4283;3398;1189;267;42981;16;94;134;95;76;81;222;326;450;744;914;1035;1524;2344;2664;2802;3223;3119;5028;5259;2434;800;33384;28;214;294;219;182;213;651;1006;1519;2281;2892;3339;4654;6883;7682;7331;7659;6660;9311;8657;3623;1067;76365
2024;ICD10-A48;    Sonstige bakterielle Krankheiten, ao.nicht klass.;8;11;17;10;8;6;7;14;23;33;43;82;97;151;223;176;178;159;157;117;40;6;1566;5;5;10;16;11;5;11;6;15;17;20;27;28;61;87;110;94;82;100;96;28;5;839;13;16;27;26;19;11;18;20;38;50;63;109;125;212;310;286;272;241;257;213;68;11;2405
2024;ICD10-A49;    Bakterielle Infektion nicht näher bez.Lokalisation;355;369;287;224;115;78;145;154;225;310;348;440;643;1236;1915;2484;3312;3364;4640;3811;1285;255;25995;225;321;246;158;116;61;163;171;255;298;311;335;514;777;1079;1520;1858;2293;3769;3844;1631;479;20424;580;690;533;382;231;139;308;325;480;608;659;775;1157;2013;2994;4004;5170;5657;8409;7655;2916;734;46419
2024;ICD10-A50-A64;  Infektionen, vorw.d. Geschlechtsverkehr übertragen;1;1;1;0;5;7;57;74;81;84;86;67;76;88;87;39;22;16;7;6;2;0;807;4;2;1;25;170;180;369;226;119;101;64;55;49;41;31;31;26;10;13;10;8;3;1538;5;3;2;25;175;187;426;300;200;185;150;122;125;129;118;70;48;26;20;16;10;3;2345
2024;ICD10-A50;    Syphilis connata;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0;0;1;0;0;0;0;9
2024;ICD10-A51;    Frühsyphilis;0;0;0;0;0;1;16;17;18;26;23;12;14;26;21;7;2;2;2;0;0;0;187;0;0;0;0;2;1;2;6;3;7;4;3;5;1;0;1;0;0;0;0;0;0;35;0;0;0;0;2;2;18;23;21;33;27;15;19;27;21;8;2;2;2;0;0;0;222
2024;ICD10-A52;    Spätsyphilis;0;0;0;0;0;0;9;7;23;29;35;32;35;38;47;24;16;9;2;3;2;0;311;0;0;0;0;0;1;0;0;4;2;0;5;7;7;9;3;3;0;0;1;0;0;42;0;0;0;0;0;1;9;7;27;31;35;37;42;45;56;27;19;9;2;4;2;0;353
2024;ICD10-A53;    Sonstige und nicht näher bezeichnete Syphilis;0;0;0;0;0;3;4;6;11;12;7;11;7;11;7;3;2;1;0;0;0;0;85;0;0;0;0;1;0;0;2;2;3;2;2;3;0;0;1;0;1;0;0;0;0;17;0;0;0;0;1;3;4;8;13;15;9;13;10;11;7;4;2;2;0;0;0;0;102
2024;ICD10-A54;    Gonokokkeninfektion;0;0;0;0;2;0;14;24;10;9;9;7;11;3;4;3;1;0;0;0;0;0;97;0;0;1;3;9;3;28;25;12;11;9;7;5;3;1;0;0;0;1;0;0;0;118;0;0;1;3;11;3;42;49;22;20;18;14;16;6;5;3;1;0;1;0;0;0;215
2024;ICD10-A55;    Lymphogranuloma inguinale (venereum) d. Chlamydien;0;0;0;0;0;0;1;0;2;1;2;0;1;1;1;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;2;0;1;1;1;0;0;0;0;0;0;0;9
2024;ICD10-A56;    Sonst. d. Geschlechtsverkehr übertr. Chlamydienkh.;0;0;0;0;0;1;5;8;6;0;3;2;1;5;2;0;0;0;0;0;0;0;33;0;0;0;2;22;24;55;33;11;10;4;0;0;0;0;1;0;0;0;0;0;0;162;0;0;0;2;22;25;60;41;17;10;7;2;1;5;2;1;0;0;0;0;0;0;195
2024;ICD10-A57;    Ulcus molle (venereum);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;4
2024;ICD10-A58;    Granuloma venereum (inguinale);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3
2024;ICD10-A59;    Trichomoniasis;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;5
2024;ICD10-A60;    Infektionen d.Anogenitalbereichs durch Herpesviren;0;1;0;0;3;2;5;9;6;5;5;3;5;1;4;2;1;3;1;2;0;0;58;2;2;0;20;136;150;283;156;84;64;43;35;26;30;21;25;21;8;12;9;8;3;1138;2;3;0;20;139;152;288;165;90;69;48;38;31;31;25;27;22;11;13;11;8;3;1196
